card,tier,frame,cik,company_name,form,section_type,filing_date,accession_number,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,verdict,verdict_note
14,T1_BASE,SRS over OK rows,872589,"REGENERON PHARMACEUTICALS, INC.",8-K,EX99_PRESS_RELEASE,2019-08-06,0001532176-19-000024,OK,ok,whole_document,high,4191,CORRECT,Regeneron Q2-19 release; tail is the collaborator net-sales table footnote.
15,T1_BASE,SRS over OK rows,1543151,"Uber Technologies, Inc",10-K,RISK_FACTORS,2022-02-24,0001543151-22-000008,OK,ok,anchor,high,35206,CORRECT,Uber 10-K Item 1A; tail on internal-control material weakness.
16,T1_BASE,SRS over OK rows,1389170,Targa Resources Corp.,8-K,EX99_PRESS_RELEASE,2019-02-20,0001564590-19-003346,OK,ok,whole_document,high,9173,CORRECT,Targa FY18 release; tail is the forward-looking disclaimer + IR contacts.
17,T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",27419,TARGET CORP,10-Q,RISK_FACTORS,2017-08-21,0000027419-17-000027,OK,ok,anchor,high,31,CORRECT,31 w: 'There have been no material changes to the risk factors described in our Annual Report...'. The legitimate 10-Q cross-reference; complete.
18,T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",49071,HUMANA INC,10-Q,RISK_FACTORS,2017-08-02,0000049071-17-000143,OK,ok,anchor,high,19,CORRECT,"19 w cross-reference, complete. Sits 4 w above the (10-Q, RISK_FACTORS) floor of 15 -- the row class that floor exists to protect."
19,T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",769397,"Autodesk, Inc.",10-Q,MDA,2017-05-31,0000769397-17-000031,OK,ok,anchor,high,12458,CORRECT,'ITEM 2.\nMANAGEMENT'S DISCUSSION...' head; tail is the unbilled-deferred-revenue glossary entry at page 43.
20,T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",895126,EXPAND ENERGY Corp,10-Q,MDA,2016-08-04,0000895126-16-000516,OK,ok,anchor,high,14480,CORRECT,"Head carries one 'TABLE OF CONTENTS' running-header line before 'ITEM 2.' -- cosmetic, 3 words. Tail is the forward-looking close. Pre-2019, new filer, anchor method."
21,T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",927653,MCKESSON CORP,10-Q,MDA,2017-01-26,0000927653-17-000003,OK,ok,anchor,high,7722,CORRECT,Head carries the 'Table of Contents / McKESSON CORPORATION / FINANCIAL REVIEW (UNAUDITED)' running header before 'Item 2.'; body and tail are MD&A.
22,T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",1618921,"Walgreens Boots Alliance, Inc.",10-Q,MDA,2017-04-05,0001618921-17-000026,OK,ok,anchor,high,12530,CORRECT,'Item 2.\nManagement's Discussion...' head; tail is the forward-looking close at page 48.
23,T2_NEWOLD,pre-2019 earnings,32604,EMERSON ELECTRIC CO,8-K,EX99_PRESS_RELEASE,2017-08-01,0000032604-17-000031,OK,ok,whole_document,high,2579,CORRECT,Emerson Q3-17 release; tail is the segment-EBIT-margin reconciliation and the '###' end-of-release mark.
24,T2_NEWOLD,pre-2019 earnings,707549,LAM RESEARCH CORP,8-K,EX99_PRESS_RELEASE,2017-07-26,0000707549-17-000095,OK,ok,whole_document,high,3537,CORRECT,"Lam Q4-FY17 release; tail is the non-GAAP operating-margin table, page 9."
25,T2_NEWOLD,pre-2019 earnings,1133421,NORTHROP GRUMMAN CORP /DE/,8-K,EX99_PRESS_RELEASE,2017-04-26,0001133421-17-000019,OK,ok,whole_document,high,3622,CORRECT,Northrop Q1-17 release; tail is the segment-operating-margin definition + address block.
26,T2_NEWOLD,pre-2019 earnings,1276187,Energy Transfer LP,8-K,EX99_PRESS_RELEASE,2016-08-04,0001276187-16-000211,OK,ok,whole_document,high,3025,CORRECT,"Energy Transfer Q2-16 release; tail is the limited-partners' interest table, page 9. Note the exhibit's own 'SUPPLEMENTAL INFORMATION' section is inside the release, correctly NOT truncated (F3_SPEC §6)."
27,T2_NEWOLD,2019+ new filer,1535527,"CrowdStrike Holdings, Inc.",8-K,EX99_PRESS_RELEASE,2021-12-01,0001535527-21-000026,OK,ok,whole_document,high,5793,CORRECT,CrowdStrike Q3-FY22 release; tail is the 'Magic Number' definition.
28,T2_NEWOLD,2019+ new filer,1543151,"Uber Technologies, Inc",10-Q,RISK_FACTORS,2020-08-07,0001543151-20-000029,OK,ok,anchor,high,34933,CORRECT,Uber 10-Q Item 1A; tail on the exclusive-forum provision.
29,T2_NEWOLD,2019+ new filer,30554,"EIDP, Inc.",10-K,RISK_FACTORS,2026-02-12,0001755672-26-000004,OK,ok,anchor,high,10009,CORRECT,"EIDP/Corteva 10-K Item 1A; head has one 'Table Of Contents / Part I' running-header line; tail on the Proposed Separation tax risk, page 23."
30,T2_NEWOLD,"extension stratum, sector E1 never had",4904,AMERICAN ELECTRIC POWER CO INC,10-K,MDA,2023-02-23,0000004904-23-000011,FLAGGED,mda_stub_external_document,incorporated_by_reference_unresolved,low,149,CORRECT,"149 w D2 stub, correctly identified: 'The information required by this item is incorporated herein by reference to the material under Management's Discussion and Analysis ... in the 2022 Annual Report.' FLAGGED mda_stub_external_document + below_length_floor, confidence low. Failing visibly is the right outcome at 0 GETs."
31,T2_NEWOLD,"extension stratum, sector E1 never had",726728,REALTY INCOME CORP,10-K,RISK_FACTORS,2023-02-22,0000726728-23-000044,OK,ok,anchor,high,11627,CORRECT,"Realty Income 10-K Item 1A; tail on inflation risk, page 35."
32,T2_NEWOLD,"extension stratum, sector E1 never had",1692819,Vistra Corp.,10-Q,MDA,2023-08-09,0001628280-23-028436,OK,ok,anchor,high,13250,CORRECT,Vistra 10-Q Item 2; tail on 'CHANGES IN ACCOUNTING STANDARDS' -- the last MD&A subsection.
33,T3_FLAG,reason_code=earnings_population_gate,1318605,"Tesla, Inc.",8-K,EX99_PRESS_RELEASE,2024-10-02,0001628280-24-041816,FLAGGED,earnings_population_gate,whole_document,medium,285,CORRECT,"Tesla Q3-24 Production & Deliveries, 285 w. Genuinely NOT an earnings release ('Our net income and cash flow results will be announced along with the rest of our financial performance when we announce Q3 earnings'). The population gate flagged exactly the right row; text extraction itself is complete and correct."
34,T3_FLAG,reason_code=heading_regex_fallback,823768,WASTE MANAGEMENT INC,10-Q,MDA,2025-04-29,0001558370-25-005805,FLAGGED,heading_regex_fallback,heading_regex,low,8056,CORRECT,"WM 10-Q Item 2, located by the heading-regex fallback; head and tail are both MD&A. NOTE the tail is word-per-line rendered ('We\ntake\nproactive\nsteps') -- same class as card 12, inside an otherwise prose section."
35,T3_FLAG,reason_code=head_keyword_absent,92230,TRUIST FINANCIAL CORP,10-Q,MDA,2022-08-01,0000092230-22-000083,FLAGGED,head_keyword_absent,anchor,medium,11889,CORRECT,"Head is 'Regulatory Considerations', a genuine Truist MD&A subsection, not a foreign item; mid is 'Note 18. Operating Segments', tail is the Risk-Management close. head_keyword_absent fired benignly -- the C14-predicted 7-of-10 benign class."
36,T3_FLAG,reason_code=no_toc_and_no_heading_match,32604,EMERSON ELECTRIC CO,10-K,MDA,2021-11-15,0000032604-21-000038,FAIL,no_toc_and_no_heading_match,none,low,0,WRONGLY-FAILED,"Emerson 10-K 2021. The document DOES contain ""ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS"" as a real heading line (verified in the cached emr-20210930.htm). It fails only because the shipped fallback gap class [\s\xa0.:]{0,20} does not admit the ' - ' separator. Dialect D9."
37,T3_FLAG,reason_code=item_absent_from_toc,4904,AMERICAN ELECTRIC POWER CO INC,10-Q,MDA,2016-11-02,0000004904-16-000102,FAIL,item_absent_from_toc,none,low,0,WRONGLY-FAILED,"AEP 10-Q 2016-Q3. MD&A is present; the TOC row reads 'Items 1, 2, 3 and 4 - Financial Statements, Management's Discussion and Analysis of Financial Condition and Results of Operations, ...' -- a COMBINED-item row that _ITEM_LABEL_PREFIX_RE ('^item\s*[0-9]') cannot match because of the plural 'Items'. Dialect D10."
38,T3_FLAG,reason_code=earnings_supplemental_diluted,100885,UNION PACIFIC CORP,8-K,EX99_PRESS_RELEASE,2015-10-22,0000100885-15-000186,FLAGGED,earnings_supplemental_diluted,whole_document,medium,2887,CORRECT,"Union Pacific Q3-15 release, complete; the flagged 'supplemental' tail is UNP's own freight-revenue/financial statistics appendix inside the release. Flag is a dilution measurement, not an error -- §6 correctly does not truncate."
39,T3_FLAG,reason_code=below_length_floor,100885,UNION PACIFIC CORP,10-Q,MDA,2016-04-21,0000100885-16-000339,FLAGGED,below_length_floor,heading_regex,low,15,EMPTY-OR-BOILERPLATE,"15 w: 'Item 2.\nManagement's Discussion and Analysis of Financial Condition and Results of Operations\n20\n\ufeff'. That trailing '20' is a PAGE NUMBER -- the heading-regex fallback matched a table-of-contents row, not the section. Correctly FLAGGED (below_length_floor + heading_regex_fallback, confidence low) so it fails visibly, but it is a wrong slice, not a thin section."
40,T3_FLAG,reason_code=mda_stub_external_document,73309,NUCOR CORP,10-K,MDA,2017-02-28,0001193125-17-062124,FLAGGED,mda_stub_external_document,incorporated_by_reference_unresolved,low,37,CORRECT,"37 w D2 stub: 'The information required by this item is incorporated by reference to Nucor's 2016 Annual Report, page 4'. Correctly FLAGGED mda_stub_external_document, low confidence."
